,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
1,901425,C1=C(OC(=C1)[N+](=O)[O-])C2=CC=NN2,Active
2,4640068,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC(=O)C4=CC(=CC(=C4)OC)OC)F)C(=O)O,Active
3,149096,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,Active
4,54684459,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O.Cl,Active
5,6915944,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\O)/C3=CSC(=N3)N)SC1)C(=O)O,Active
6,5910161,C1=C(OC(=C1)[N+](=O)[O-])/C=[N+](/CCO)\[O-],Active
7,1920133,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC(=O)C4=CC=C(C=C4)F)F)C(=O)O,Active
8,432465,C1=CC(=CC=C1CN2C=CC3=C2C=CC4=C3C(=NC(=N4)N)N)N,Active
9,4351062,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC(=O)C4=CC=C(C=C4)OC)F)C(=O)O,Active
10,3923766,CC1CN(CCN1C(=S)NCC2=CC=CC=C2)C3=C(C=C4C(=C3OC)N(C=C(C4=O)C(=O)O)C5CC5)F,Active
11,1895447,CCCCNC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)N3CCN(CC3)C)CC,Active
12,1361354,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)S(=O)(=O)C4=CC=C(C=C4)NC(=O)C)F)C(=O)O,Active
13,1917402,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC(=O)C4=CC=CC=C4C)F)C(=O)O,Active
14,54685047,CN(C)[C@H]1[C@@H]2[C@H]([C@@H]3C(=C)C4=C(C(=CC=C4)O)C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O.Cl,Active
15,3336580,CCOC1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)NC(=O)C3=CN4C(COC5=C4C(=CC(=C5N6CCN(CC6)C)F)C3=O)C,Active
16,5411990,C1=CC(=CC=C1C(=O)NNC(=O)/C=C/C2=CC=C(O2)[N+](=O)[O-])F,Active
17,60605,C[C@@H]1CN(C[C@@H](N1)C)C2=C(C3=C(C(=C2F)F)C(=O)C(=CN3C4CC4)C(=O)O)F,Active
18,3390590,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NCC=C)F)C(=O)O,Active
19,9552079,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl,Active
20,1939327,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC4=CC=C(C=C4)OC)F)C(=O)O,Active
21,1517201,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC(=O)C4=CC=CC(=C4)C)F)C(=O)O,Active
22,3922866,CC1CN(CCN1C(=S)NC(C)C(=O)OC)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,Active
23,447043,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,Active
24,54687245,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C.Cl,Active
25,16684434,CC[Hg]SC1=CC=CC=C1C(=O)[O-].[Na+],Active
26,101526,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O.Cl,Active
27,1314692,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC(=O)C4=CC(=C(C=C4)F)F)F)C(=O)O,Active
28,44246714,CN(C)[C@H]1[C@@H]2[C@H]([C@H]3C(C(=O)C4=C(C3=C)C=CC=C4O)C(=O)[C@@]2(C(=O)C(C1=O)C(=O)N)O)O.Cl,Active
29,1570,C1=CC(=S)N(C=C1)O,Active
30,6177155,C1=CSC(=C1)C(=O)N/N=C\C=C\C2=CC=C(O2)[N+](=O)[O-],Active
31,54692868,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,Active
32,54682932,CN(C)[C@H]1[C@@H]2[C@H](C3C(=C)C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O.C1=CC(=C(C=C1S(=O)(=O)O)C(=O)O)O,Active
33,5362065,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O,Active
34,24747657,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)NCCO.Cl,Active
35,54686763,CN(C)[C@@H]1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)[C@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C.Cl,Active
36,53025,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O,Active
37,5323714,C1COC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],Active
38,56909,C1=CC=C2C(=C1)C=CC3=C2C(=C(O3)[N+](=O)[O-])CCO,Active
39,3875592,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC(=O)C4=CC=C(C=C4)Br)F)C(=O)O,Active
40,42628318,CCC(C1=CC=CC=C1)(C(=O)NN(C)C)ONC2=CC=CC=C2C(F)(F)F,Active
41,5447130,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N,Active
42,452507,COC1=CC(=CC(=C1OC)OC)CC2=CC(=NC(=N2)N)N,Active
43,71188,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F,Active
44,2106919,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)S(=O)(=O)C5=CC6=C(C=C5)OCCO6)F)C(=O)O,Active
45,1893821,CCCNC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)N3CCN(CC3)C)CC,Active
46,243447,CC1CN(C(=N)O1)N=CC2=CC=C(O2)[N+](=O)[O-],Active
47,6875617,COC(=O)N/N=C/C1=CC=C(O1)[N+](=O)[O-],Active
48,16806362,CC(C)N1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=C(O3)[N+](=O)[O-].Cl,Active
49,176015,CN1CCN(CC1)C2=C(C=C3C4=C2SCCN4C=C(C3=O)C(=O)O)F.Cl,Active
50,3794850,CC1CN(CCN1C(=S)NC2CC3CCC2C3)C4=C(C=C5C(=C4OC)N(C=C(C5=O)C(=O)O)C6CC6)F,Active
51,1895569,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=O)C4=CC=CO4)F)C(=O)NCC5=CN=CC=C5,Active
52,16806361,CN1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=C(O3)[N+](=O)[O-].Cl,Active
53,4610756,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC(=O)C4=C(C=CC=C4OC)OC)F)C(=O)O,Active
54,9444,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,Active
55,45479726,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O.O.[Na+],Active
56,4410,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2N4CCC(CC4)O)F)C(=O)O,Active
57,328131,C1=CC(=CC=C1SC2=CC3=C(C=C2)N=C(N=C3N)N)Cl,Active
58,3726475,CN1CCN(CC1)C2=C(C=C3C4=C2OCN(N4C=C(C3=O)C(=O)[O-])C)F,Active
59,45479753,C1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=CC=C(C=C4)F)F.O.Cl,Active
60,228590,CC(=NN1CC(=O)NC1=O)C2=CC=C(O2)[N+](=O)[O-],Active
61,6902142,C1OC2=C(O1)C=C(C=C2)C(=O)N/N=C/C3=CC=C(O3)[N+](=O)[O-],Active
62,3734129,CC1CN(CCN1C(=S)NC)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,Active
63,334410,CC(=O)O.C1=CC(=CC(=C1)[N+](=O)[O-])CN2C=CC3=C2C=CC4=C3C(=NC(=N4)N)N,Active
64,10695961,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)[O-].[Na+],Active
65,332389,C1=CC2=C(C=C(O2)[N+](=O)[O-])C3=C1OC=C3,Active
66,319089,CN1C=CC(=NC2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)N=C4C=CN(C5=C4C=C(C=C5)[N+](=O)[O-])C)C=C1,Active
67,54682937,C[C@@]1(C2[C@@H](C3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl,Active
68,275986,CC1=C(C(=NN1)C2=CN=CC=C2)N=NN(C)C,Active
69,4583,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,Active
70,54686003,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,Active
71,54686764,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O.Cl,Active
72,24892684,CC(C)N1CCC2=C(C1)SC(=C2C(=O)OC)NC(=O)C3=CC=C(O3)[N+](=O)[O-].Cl,Active
73,664069,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)NCC4=CC5=C(C=C4)OCO5,Active
74,3794983,C1=CC=C(C=C1)C(=O)NNC(=O)C2=CC=C(O2)[N+](=O)[O-],Active
75,1895848,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)NCC(C)C,Active
76,1045642,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC(=O)C4=CC=CC=C4Br)F)C(=O)O,Active
77,488261,CN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)CCF)F,Active
78,3229,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,Active
79,3374,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,Active
80,135899465,CCC(C)N1CCC2(CC1)NC3=C4C5=C(C(=NC(=O)C(=CC=C[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]([C@H](C=CO[C@@]6(C(=O)C4=C(O6)C(=C5O)C)C)OC)C)OC(=O)C)C)O)C)O)C)C)C3=N2)O,Active
81,135900090,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)/C,Active
82,3684314,CC(=O)N1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F,Active
83,334409,C1=C2C(=C(N=C(N2)N)N)C3=CC=NC3=C1,Active
84,1917463,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC4=CC=CC=C4OC)F)C(=O)O,Active
85,10695961,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)[O-].[Na+],Active
86,1090196,CCN1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=C(O3)[N+](=O)[O-])Cl,Active
87,243449,CCN(CC)CC1CN(C(=O)O1)N=CC2=CC=C(O2)[N+](=O)[O-],Active
88,3395923,CC1CN(CCN1C(=S)NC2=CC=C(C=C2)F)C3=C(C=C4C(=C3OC)N(C=C(C4=O)C(=O)O)C5CC5)F,Active
89,6093,C1CN(C(=O)N1)C2=NC=C(S2)[N+](=O)[O-],Active
90,3084396,CC(C(=O)O)O.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,Active
91,44246710,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(C(=O)C3(C(=O)C2C(=O)C4=C1C=CC=C4O)O)C(=O)N)N(C)C)O.Cl,Active
92,4852862,C1=CSC(=C1C(=O)N)NC(=O)C2=CC=C(O2)[N+](=O)[O-],Active
93,404406,C[N+]1=C2CCCCC2=C3N1C4=CC=CC=C4C3=CC5=CC=C(C=C5)N(C)C.C(F)(F)(F)S(=O)(=O)[O-],Active
94,4661621,CCCOC1=CC=C(C=C1)C(=O)NC(=S)N2CCN(CC2)C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)CC)F,Active
95,24687249,CN1C=CSC1=NC(=O)C2=CC=C(O2)[N+](=O)[O-],Active
96,702695,C1=C(OC(=C1)[N+](=O)[O-])/C=C/C(=O)O,Active
97,1895893,CCCCCCNC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)N3CCN(CC3)C)CC,Active
98,1904355,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC(=O)C4=CC(=CC=C4)F)F)C(=O)O,Active
99,54683010,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,Active
100,148471,C1=CC(=CN=C1)NC(=O)C2=CC=C(O2)[N+](=O)[O-],Active
101,3281742,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)NC5=C(C=C(C=C5C)C)C,Active
102,4252228,C1=CC=C(C=C1)C(=O)NNC2=CC(=C(C(=C2)Br)O)Br,Active
103,16218899,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N.O,Active
104,5091685,CC1CN(CCN1C(=S)NC2=CC=CC=C2F)C3=C(C=C4C(=C3OC)N(C=C(C4=O)C(=O)O)C5CC5)F,Active
105,5280707,C1=COC(=C1)/C(=C/C2=CC=C(O2)[N+](=O)[O-])/C(=O)N,Active
106,3032422,C1CN(C(=S)N1)N=CC2=CC=C(O2)[N+](=O)[O-],Active
107,98652,C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)C3=CC4=C(C=C3)N=C(N=C4N)N,Active
108,23667300,CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)[O-])NC(=O)CC3=CC=CS3.[Na+],Active
109,35370,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],Active
110,54117,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N,Active
111,1952592,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC(=O)C4=CC=CC=C4F)F)C(=O)O,Active
112,657705,CCOC(=O)C1=NC2=CC=CC=C2C1=[N+]=[N-],Active
113,6603548,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)NCCCN(C)C.Cl,Active
114,56642849,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N/OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O.O,Active
115,135466007,C1=CC=C2C(=C1)NC(=N2)/C(=C(/C3=CC=C(O3)[N+](=O)[O-])\O)/C#N,Active
116,42640,CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-],Active
117,279924,CC1=C(C(=NN1)C(F)(F)F)N=NN2CCOCC2,Active
118,774010,COC1=CC=C(C=C1)NC(=O)C2=CC=C(O2)[N+](=O)[O-],Active
119,92968,C1COCCN1CC2CN(C(=O)O2)N=CC3=CC=C(O3)[N+](=O)[O-].Cl,Active
120,9563275,CC1=NC2=CC=CC=C2N1/N=C/C3=CC=C(O3)[N+](=O)[O-],Active
121,313582,C1=C(C2=[N+](ON=C2C(=C1)[N+](=O)[O-])[O-])N(CCO)CCO,Active
122,3765969,CCC(C)NC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)N3CCN(CC3)C)CC,Active
123,321946,CN1C(=CN=C1C=C2CC3=C(C2=O)C=C(C=C3)OCCN(C)C)[N+](=O)[O-].OS(=O)(=O)O,Active
124,119525,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O.CS(=O)(=O)O,Active
125,324229,C1CCC2=C(C1)C(=NC(=N2)C3=CC=C(O3)[N+](=O)[O-])Cl,Active
126,24747685,CCCCN(CCCC)C(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)N3CCN(CC3)C)CC.Cl,Active
127,24761052,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)NCCN(CC)CC.Cl,Active
128,5017142,C1=CC=C2C(=C1)C(=C(O2)C(=O)N)NC(=O)C3=CC=C(O3)[N+](=O)[O-],Active
129,759209,CC1=C(SN(C1=O)C2=CC=C(C=C2)Cl)Cl,Active
130,6604200,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],Active
131,221597,C1CSC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],Active
132,54682468,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O.Cl,Active
133,1956711,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC(=O)C4=CC=CC=C4)F)C(=O)O,Active
134,339983,C1=CC(=CC(=C1)[N+](=O)[O-])C2=C(N3C=CC=NC3=N2)N=O,Active
135,61205,C1=C(OC(=C1)[N+](=O)[O-])C2=NN=C(S2)N,Active
136,1894659,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=O)C4=CC=CO4)F)C(=O)NCC=C,Active
137,5578,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,Active
138,6901830,C1CC1C(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-],Active
139,16188230,CC1=C(C(=NC(=N1)N)N)/C=C/C(C)(C)C2=CC=C(C=C2)Cl.Cl,Active
140,135398743,C[C@H]1/C=C/C=C(\C(=O)N=C2C(=C3C(=C4C2=NC5(N4)CCN(CC5)CC(C)C)C6=C(C(=C3O)C)O[C@@](C6=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)O)/C,Active
141,4421,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,Active
142,57338,C1=CC(=CC=C1N2C=C(C(=O)C3=CC(=C(C=C32)Cl)F)C(=O)O)F,Active
143,5335985,C1=C(OC(=C1)[N+](=O)[O-])/C=C/C=C\2/C(=O)NC(=S)S2,Active
144,5564,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,Active
145,1080599,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=O)NC4=CC=CC=C4)F)C(=O)O,Active
146,9695946,COC1=CC=CC=C1OCC(=O)N/N=C/C=C/C2=CC=C(O2)[N+](=O)[O-],Active
147,24747656,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)NCCN(C)C.Cl,Active
148,60063,C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)Cl)N4CCC(C4)N)F)C(=O)O,Active
149,311899,CN1C=CC(=O)C2=C1C=CC(=C2)[N+](=O)[O-],Active
150,135398739,C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2N=CNC3=O,Active
151,2762,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,Active
152,24747663,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)NCCCO.Cl,Active
153,69756,C1=C(OC(=C1)[N+](=O)[O-])C2=NC(=NC(=N2)N)N,Active
154,24981106,C1=CC(=C(C=C1Cl)NC(=O)C2=CC=C(O2)[N+](=O)[O-])N3C=NC=N3,Active
155,7019465,COC1=C2C(=CC(=C1F)F)C(=O)C(=CN2C3CC3)C(=O)O,Active
156,5337997,C1=CC(=CC=C1C(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-])O,Active
157,44246707,CN(C)[C@@H]1C2CC3CC4=C(C=CC(=C4C(=O)C3C(=O)[C@]2(C(=O)C(C1=O)C(=O)N)O)O)N(C)C.Cl,Active
158,1900573,CCCC1=NN=C(S1)NC(=O)C2=CN(C3=CC(=C(C=C3C2=O)F)N4CCN(CC4)C)CC,Active
159,328839,C1=CN(C(=O)N=C1)C2C(C(C(O2)CO)O)O,Active
160,762594,C1CN(C2=CC=CC=C21)C(=O)C3=CC=C(O3)[N+](=O)[O-],Active
161,313562,C1COCCN1C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-],Active
162,135422442,C1CC(OC1CO)N2C=NC3=C2N=CNC3=O,Active
